time,power,OA Wetbulb Temp
49305,10374548.13,9.944444444
49320,10329062.36,9.944444444
49335,10249371.29,9.958333333
49350,10169643.05,9.972222222
49365,10089877.66,9.986111111
49380,10010075.11,10
49395,9934729.728,10.04166667
49410,9859272.87,10.08333333
49425,9783704.531,10.125
49440,9708024.711,10.16666667
49455,9686952.688,10.16666667
49470,9665835.284,10.16666667
49485,9644672.5,10.16666667
49500,9623464.335,10.16666667
49515,9607608.323,10.13888889
49530,9591674.516,10.11111111
49545,9575662.913,10.08333333
49560,9559573.516,10.05555556
49575,9522666.031,10.06944444
49590,9485758.546,10.08333333
49605,9448851.061,10.09722222
49620,9411943.576,10.11111111
49635,9381454.784,10.13888889
49650,9350965.992,10.16666667
49665,9320477.2,10.19444444
49680,9289988.408,10.22222222
49695,9314652.352,10.23611111
49710,9338729.807,10.25
49725,9362220.773,10.26388889
49740,9385125.25,10.27777778
49755,9395256.712,10.29166667
49770,9404634.117,10.30555556
49785,9413257.464,10.31944444
49800,9421126.753,10.33333333
49815,9458662.606,10.33333333
49830,9495957.155,10.33333333
49845,9533010.401,10.33333333
49860,9569822.343,10.33333333
49875,9573767.716,10.33333333
49890,9577085.699,10.33333333
49905,9579776.293,10.33333333
49920,9581839.498,10.33333333
49935,9581521.661,10.34722222
49950,9581196.875,10.36111111
49965,9580865.14,10.375
49980,9580526.455,10.38888889
49995,9580180.822,10.43055556
50010,9579828.239,10.47222222
50025,9579468.706,10.51388889
50040,9579102.225,10.55555556
50055,9539247.225,10.58333333
50070,9498830.158,10.61111111
50085,9457851.025,10.63888889
50100,9416309.826,10.66666667
50115,9382218.703,10.65277778
50130,9347434.365,10.63888889
50145,9311956.811,10.625
50160,9275786.043,10.61111111
50175,9253327.573,10.65277778
50190,9230813.487,10.69444444
50205,9208243.783,10.73611111
50220,9185618.463,10.77777778
50235,9162937.526,10.75
50250,9140200.972,10.72222222
50265,9117408.802,10.69444444
50280,9094561.014,10.66666667
50295,9111119.943,10.625
50310,9127667.351,10.58333333
50325,9144203.237,10.54166667
50340,9160727.603,10.5
50355,9170650.364,10.47222222
50370,9180533.953,10.44444444
50385,9190378.37,10.41666667
50400,9200183.616,10.38888889
50415,9281916.634,10.38888889
50430,9362670.979,10.38888889
50445,9442446.65,10.38888889
50460,9521243.647,10.38888889
50475,9586112.537,10.43055556
50490,9649686.123,10.47222222
50505,9711964.405,10.51388889
50520,9772947.384,10.55555556
50535,9805460.004,10.58333333
50550,9837707.683,10.61111111
50565,9869690.422,10.63888889
50580,9901408.221,10.66666667
50595,9924074.269,10.63888889
50610,9946377.768,10.61111111
50625,9968318.718,10.58333333
50640,9989897.117,10.55555556
50655,10018105.42,10.52777778
50670,10046337.76,10.5
50685,10074594.12,10.47222222
50700,10102874.51,10.44444444
50715,10145253.57,10.44444444
50730,10187671.35,10.44444444
50745,10230127.83,10.44444444
50760,10272623.04,10.44444444
50775,10283956.62,10.43055556
50790,10294823.11,10.41666667
50805,10305222.5,10.40277778
50820,10315154.79,10.38888889
50835,10340926.63,10.38888889
50850,10366090.16,10.38888889
50865,10390645.37,10.38888889
50880,10414592.27,10.38888889
50895,10385840.45,10.38888889
50910,10356786.61,10.38888889
50925,10327430.76,10.38888889
50940,10297772.89,10.38888889
50955,10273835.53,10.38888889
50970,10249529.03,10.38888889
50985,10224853.41,10.38888889
51000,10199808.65,10.38888889
51015,10168571.44,10.38888889
51030,10137381.74,10.38888889
51045,10106239.56,10.38888889
51060,10075144.88,10.38888889
51075,10037050.88,10.38888889
51090,9999028.139,10.38888889
51105,9961076.666,10.38888889
51120,9923196.46,10.38888889
51135,9906799.302,10.40277778
51150,9890183.573,10.41666667
51165,9873349.27,10.43055556
51180,9856296.396,10.44444444
51195,9833106.383,10.5
51210,9809667.441,10.55555556
51225,9785979.569,10.61111111
51240,9762042.767,10.66666667
51255,9767848.198,10.70833333
51270,9773298.212,10.75
51285,9778392.807,10.79166667
51300,9783131.986,10.83333333
51315,9742369.816,10.80555556
51330,9700847.599,10.77777778
51345,9658565.335,10.75
51360,9615523.025,10.72222222
51375,9615322.233,10.72222222
51390,9614155.358,10.72222222
51405,9612022.4,10.72222222
51420,9608923.359,10.72222222
51435,9618943.482,10.72222222
51450,9628190.739,10.72222222
51465,9636665.13,10.72222222
51480,9644366.655,10.72222222
51495,9679879.647,10.70833333
51510,9714969.545,10.69444444
51525,9749636.347,10.68055556
51540,9783880.054,10.66666667
51555,9813645.162,10.68055556
51570,9842933.162,10.69444444
51585,9871744.055,10.70833333
51600,9900077.842,10.72222222
51615,9957979.943,10.72222222
51630,10015940.38,10.72222222
51645,10073959.16,10.72222222
51660,10132036.27,10.72222222
51675,10234046.07,10.76388889
51690,10336566.32,10.80555556
51705,10439597.02,10.84722222
51720,10543138.17,10.88888889
51735,10720734.89,10.90277778
51750,10899118.04,10.91666667
51765,11078287.63,10.93055556
51780,11258243.65,10.94444444
51795,11447722.61,10.93055556
51810,11638033.37,10.91666667
51825,11829175.94,10.90277778
51840,12021150.31,10.88888889
51855,12132222.07,10.86111111
51870,12243569.05,10.83333333
51885,12355191.24,10.80555556
51900,12467088.66,10.77777778
51915,12554130.85,10.81944444
51930,12641374.59,10.86111111
51945,12728819.86,10.90277778
51960,12816466.66,10.94444444
51975,12864586.78,10.93055556
51990,12912790.68,10.91666667
52005,12961078.38,10.90277778
52020,13009449.86,10.88888889
52035,13038470.39,10.83333333
52050,13067521.57,10.77777778
52065,13096603.4,10.72222222
52080,13125715.9,10.66666667
52095,13125715.9,10.66666667
52110,13125715.9,10.66666667
52125,13125715.9,10.66666667
52140,13125715.9,10.66666667
52155,13125715.9,10.68055556
52170,13125715.9,10.69444444
52185,13125715.9,10.70833333
52200,13125715.9,10.72222222
52215,13093039.1,10.75
52230,13060394.04,10.77777778
52245,13027780.74,10.80555556
52260,12995199.18,10.83333333
52275,12965641.67,10.86111111
52290,12936111.94,10.88888889
52305,12906609.98,10.91666667
52320,12877135.81,10.94444444
52335,12861798.38,10.98611111
52350,12846460.94,11.02777778
52365,12831123.51,11.06944444
52380,12815786.08,11.11111111
52395,12819744.31,11.13888889
52410,12823656.3,11.16666667
52425,12827522.06,11.19444444
52440,12831341.57,11.22222222
52455,12835049.49,11.27777778
52470,12838744.66,11.33333333
52485,12842427.07,11.38888889
52500,12846096.73,11.44444444
52515,12858601.8,11.41666667
52530,12871083.91,11.38888889
52545,12883543.06,11.36111111
52560,12895979.25,11.33333333
52575,12931591.76,11.26388889
