time,HTWR AVG,CT Fan SPD,CTW Flow,HTW Flow
39720.0,90.78,91.5,5339.0,3622.0
39840.0,90.4,87.1,5453.9,3573.9
39960.0,89.84,85.7,5453.9,3551.4
40080.0,89.29,87.4,5453.9,3489.5
40200.0,88.92,89.0,4897.9,3455.1
40320.0,88.4,90.2,4897.9,3282.0
40440.0,87.79,90.5,4897.9,3079.6
40560.0,86.99,90.1,4897.9,3038.3
40680.0,85.95,88.9,4897.9,3001.6
40800.0,85.02,87.6,4897.9,2864.4
40920.0,84.69,86.2,4897.9,2931.2
41040.0,83.86,84.0,4553.3,3538.7
41160.0,83.05,81.6,4449.8,4377.7
41280.0,82.24,80.5,4348.4,4680.3
41400.0,92.02,80.0,5807.2,4665.3
41520.0,96.12,87.3,7322.4,4681.8
41640.0,95.15,99.7,8281.4,4803.3
41760.0,95.62,99.7,8281.4,4950.8
41880.0,97.06,97.0,9218.8,5021.9
42000.0,97.73,97.5,11024.6,5021.9
42120.0,97.35,96.8,12879.9,4934.1
42240.0,96.3,99.8,12999.9,4896.5
42360.0,93.85,99.8,13264.0,4956.6
42480.0,95.29,99.8,13142.1,4993.9
42600.0,96.84,99.8,13030.6,5017.5
42720.0,97.3,99.8,13030.6,5017.5
42840.0,97.3,99.8,13030.6,4903.3
42960.0,96.77,99.8,13027.6,4796.0
43080.0,96.45,99.8,13027.6,4724.0
43200.0,96.45,99.8,13129.2,4661.9
43320.0,96.63,99.8,12355.7,4664.6
43440.0,96.96,99.8,12194.2,4664.6
43560.0,97.29,99.8,11430.1,4709.8
43680.0,97.29,99.8,10416.5,4709.8
43800.0,97.44,99.8,9217.0,4709.8
43920.0,97.44,99.3,7626.0,4703.1
44040.0,97.28,96.0,6786.4,4703.1
44160.0,97.28,89.7,6786.4,4661.5
44280.0,97.08,86.3,6786.4,4661.5
44400.0,96.5,85.6,6786.4,4726.3
44520.0,96.9,87.2,6786.4,4857.1
44640.0,97.66,90.0,6430.8,4903.6
44760.0,97.66,92.3,6320.7,4903.9
44880.0,97.66,93.9,6904.8,4938.5
45000.0,97.66,95.4,7938.0,4999.4
45120.0,97.66,98.4,8441.8,5127.2
45240.0,97.66,98.8,7346.4,5177.4
45360.0,97.66,99.4,7590.4,5352.3
45480.0,97.17,99.4,7856.4,2673.9
45600.0,92.99,99.4,8253.1,3091.1
45720.0,85.95,99.4,7658.7,3412.4
45840.0,80.79,95.6,5915.1,3439.6
45960.0,79.62,86.1,5652.3,3045.2
46080.0,80.87,73.6,5652.3,2910.6
46200.0,82.83,64.1,5752.0,3031.4
46320.0,82.0,59.5,5752.0,3069.7
46440.0,81.64,59.2,5231.7,3018.5
46560.0,79.01,60.4,4801.9,2772.3
46680.0,79.65,60.2,5163.2,3003.5
46800.0,81.37,60.2,5052.0,3120.4
46920.0,81.37,60.0,5052.0,2992.9
47040.0,80.45,59.4,5052.0,2976.9
47160.0,77.78,59.3,5052.0,2976.9
47280.0,77.78,60.0,5052.0,2977.6
47400.0,79.55,61.5,5052.0,3029.1
47520.0,79.96,62.5,5052.0,3029.1
47640.0,80.29,63.0,5052.0,3020.8
47760.0,80.29,63.1,5052.0,3017.6
47880.0,80.61,64.4,5052.0,2999.4
48000.0,80.61,66.5,5052.0,3056.0
48120.0,80.61,69.2,5052.0,3002.1
48240.0,80.93,71.5,5052.0,2980.4
48360.0,80.93,72.0,5052.0,3530.6
48480.0,81.28,72.0,5052.0,3708.8
48600.0,82.77,71.7,5052.0,3625.7
48720.0,86.17,71.0,5052.0,3271.2
48840.0,86.46,71.0,5052.0,3093.2
48960.0,84.9,71.3,5052.0,3077.9
49080.0,84.03,72.9,5052.0,3204.6
49200.0,83.39,74.0,4795.1,3247.8
49320.0,83.23,73.7,4685.7,3199.0
49440.0,83.57,72.7,4685.7,2995.8
49560.0,83.71,72.2,4685.7,2924.9
49680.0,82.9,71.6,4685.7,2924.9
49800.0,81.91,70.1,4362.8,3091.5
49920.0,81.56,69.3,4362.8,3242.3
50040.0,81.96,69.6,4169.8,3257.5
50160.0,82.84,72.1,4169.8,3052.6
50280.0,82.99,75.3,4169.8,2971.5
50400.0,82.82,75.3,4169.8,3021.9
50520.0,82.04,74.2,4476.6,3336.7
50640.0,81.88,71.9,4476.6,3489.2
50760.0,82.68,69.2,4476.6,3503.8
50880.0,83.8,67.4,4272.9,3385.0
51000.0,84.25,66.9,4272.9,3238.2
51120.0,83.89,66.9,4272.9,3194.9
51240.0,83.07,70.1,3692.0,3261.3
51360.0,82.7,75.6,3821.6,3380.9
51480.0,82.7,78.1,3821.6,3573.0
51600.0,83.05,78.3,4162.0,3769.9
51720.0,83.75,77.9,5100.7,3929.4
51840.0,85.35,83.5,5828.8,4012.1
51960.0,86.04,91.8,6190.8,4059.5
