time,PT-04C,PT-04B,PT-04A,DPT-07
6300.0,22.0,22.3,22.3,25.2
6330.0,22.0,22.3,22.3,25.1
6360.0,22.0,22.3,22.3,24.9
6390.0,22.0,22.3,22.3,24.7
6420.0,22.0,22.3,22.3,24.6
6450.0,22.0,22.3,22.3,24.5
6480.0,22.0,22.3,22.3,24.4
6510.0,22.0,22.3,22.3,24.3
6540.0,22.0,22.3,22.3,24.1
6570.0,22.0,22.3,22.3,24.2
6600.0,22.0,22.3,22.3,24.2
6630.0,22.0,22.3,22.3,24.2
6660.0,22.0,22.3,22.3,24.3
6690.0,22.0,22.3,22.3,24.4
6720.0,22.0,22.3,22.3,24.4
6750.0,22.0,22.3,22.3,24.6
6780.0,22.0,22.3,22.3,24.7
6810.0,22.0,22.3,22.3,23.1
6840.0,22.0,22.3,22.3,24.2
6870.0,22.0,22.3,22.3,24.5
6900.0,22.0,22.3,22.3,24.3
6930.0,22.0,22.3,22.3,23.0
6960.0,22.0,22.3,22.3,23.2
6990.0,22.0,22.3,22.3,23.6
7020.0,22.0,22.3,22.3,23.7
7050.0,22.0,22.3,22.3,24.0
7080.0,22.0,22.3,22.3,24.1
7110.0,22.0,22.3,22.3,24.1
7140.0,22.0,22.3,22.3,24.3
7170.0,22.0,22.3,22.3,24.4
7200.0,22.0,22.3,22.3,24.4
7230.0,22.0,22.3,22.3,24.3
7260.0,22.0,22.3,22.3,24.0
7290.0,22.0,22.3,22.3,23.9
7320.0,22.0,22.3,22.3,23.9
7350.0,22.0,22.3,22.3,24.0
7380.0,22.1,22.4,22.4,23.9
7410.0,22.1,22.4,22.4,23.9
7440.0,22.0,22.3,22.3,24.0
7470.0,22.0,22.3,22.3,24.0
7500.0,22.0,22.3,22.3,24.0
7530.0,22.0,22.3,22.3,23.8
7560.0,22.0,22.3,22.3,23.7
7590.0,22.0,22.3,22.3,23.7
7620.0,22.0,22.3,22.3,23.8
7650.0,22.0,22.3,22.3,23.9
7680.0,22.0,22.3,22.3,23.9
7710.0,22.0,22.3,22.3,24.0
7740.0,22.0,22.3,22.3,24.1
7770.0,22.0,22.3,22.3,24.2
7800.0,22.0,22.3,22.3,24.3
7830.0,22.0,22.3,22.3,24.3
7860.0,22.0,22.3,22.3,24.3
7890.0,22.0,22.3,22.3,23.9
7920.0,22.0,22.3,22.3,23.7
7950.0,22.0,22.3,22.3,23.7
7980.0,22.0,22.3,22.3,23.8
8010.0,22.0,22.3,22.3,23.7
8040.0,22.0,22.3,22.3,23.7
8070.0,22.0,22.3,22.3,23.7
8100.0,22.0,22.3,22.3,24.0
8130.0,22.0,22.3,22.3,24.0
8160.0,22.0,22.3,22.3,24.1
8190.0,22.0,22.3,22.3,24.1
8220.0,22.0,22.3,22.3,24.3
8250.0,22.0,22.3,22.3,24.3
8280.0,22.0,22.3,22.3,24.3
8310.0,22.0,22.3,22.3,24.3
8340.0,22.0,22.3,22.3,24.3
8370.0,22.0,22.3,22.3,24.3
8400.0,22.0,22.3,22.3,24.3
8430.0,22.0,22.3,22.3,24.1
8460.0,22.0,22.3,22.3,24.0
8490.0,22.0,22.3,22.3,23.8
8520.0,22.0,22.3,22.3,23.7
8550.0,22.0,22.3,22.3,23.9
8580.0,22.0,22.3,22.4,23.7
8610.0,22.0,22.3,22.3,23.6
8640.0,22.0,22.3,22.3,23.5
8670.0,22.0,22.3,22.3,23.7
8700.0,22.0,22.3,22.3,23.8
8730.0,22.0,22.3,22.3,23.9
8760.0,22.0,22.3,22.3,24.0
8790.0,22.0,22.3,22.3,24.1
8820.0,22.0,22.3,22.3,24.0
8850.0,22.0,22.3,22.3,24.0
8880.0,22.0,22.3,22.3,24.0
8910.0,22.0,22.3,22.3,24.2
8940.0,22.0,22.3,22.3,24.0
8970.0,22.0,22.3,22.3,24.0
9000.0,22.0,22.3,22.3,24.0
9030.0,22.0,22.3,22.3,24.0
